time_iso8601,stars_cumulative
2024-07-22 00:00:00+00:00,2436
2024-07-23 00:00:00+00:00,2437
2024-07-24 00:00:00+00:00,2438
2024-07-25 00:00:00+00:00,2439
2024-07-28 00:00:00+00:00,2440
2024-07-30 00:00:00+00:00,2441
2024-07-31 00:00:00+00:00,2443
2024-08-02 00:00:00+00:00,2449
2024-08-03 00:00:00+00:00,2453
2024-08-04 00:00:00+00:00,2454
2024-08-05 00:00:00+00:00,2457
2024-08-06 00:00:00+00:00,2509
2024-08-07 00:00:00+00:00,2528
2024-08-08 00:00:00+00:00,2532
2024-08-09 00:00:00+00:00,2536
2024-08-10 00:00:00+00:00,2538
2024-08-11 00:00:00+00:00,2540
2024-08-12 00:00:00+00:00,2543
2024-08-13 00:00:00+00:00,2548
2024-08-16 00:00:00+00:00,2549
2024-08-17 00:00:00+00:00,2551
2024-08-18 00:00:00+00:00,2552
2024-08-20 00:00:00+00:00,2553
2024-08-21 00:00:00+00:00,2554
2024-08-22 00:00:00+00:00,2555
2024-08-23 00:00:00+00:00,2556
2024-08-26 00:00:00+00:00,2558
2024-08-27 00:00:00+00:00,2559
2024-08-28 00:00:00+00:00,2561
2024-08-30 00:00:00+00:00,2562
2024-08-31 00:00:00+00:00,2564
2024-09-02 00:00:00+00:00,2565
2024-09-06 00:00:00+00:00,2566
2024-09-07 00:00:00+00:00,2570
2024-09-10 00:00:00+00:00,2571
2024-09-13 00:00:00+00:00,2572
2024-09-15 00:00:00+00:00,2574
2024-09-16 00:00:00+00:00,2576
2024-09-19 00:00:00+00:00,2577
2024-09-21 00:00:00+00:00,2578
2024-09-22 00:00:00+00:00,2580
2024-09-23 00:00:00+00:00,2583
2024-09-24 00:00:00+00:00,2586
2024-09-25 00:00:00+00:00,2588
2024-09-26 00:00:00+00:00,2589
2024-09-27 00:00:00+00:00,2592
2024-09-29 00:00:00+00:00,2593
2024-09-30 00:00:00+00:00,2595
2024-10-01 00:00:00+00:00,2596
2024-10-02 00:00:00+00:00,2597
2024-10-03 00:00:00+00:00,2601
2024-10-04 00:00:00+00:00,2611
2024-10-05 00:00:00+00:00,2612
2024-10-08 00:00:00+00:00,2615
2024-10-09 00:00:00+00:00,2616
2024-10-11 00:00:00+00:00,2619
2024-10-12 00:00:00+00:00,2620
2024-10-15 00:00:00+00:00,2623
2024-10-17 00:00:00+00:00,2625
2024-10-20 00:00:00+00:00,2628
2024-10-21 00:00:00+00:00,2630
2024-10-23 00:00:00+00:00,2634
2024-10-24 00:00:00+00:00,2635
2024-10-25 00:00:00+00:00,2638
2024-10-27 00:00:00+00:00,2639
2024-10-30 00:00:00+00:00,2640
2024-10-31 00:00:00+00:00,2641
2024-11-02 00:00:00+00:00,2642
2024-11-03 00:00:00+00:00,2643
2024-11-04 00:00:00+00:00,2646
2024-11-05 00:00:00+00:00,2647
2024-11-06 00:00:00+00:00,2649
2024-11-08 00:00:00+00:00,2651
2024-11-10 00:00:00+00:00,2653
2024-11-14 00:00:00+00:00,2654
2024-11-15 00:00:00+00:00,2665
2024-11-16 00:00:00+00:00,2668
2024-11-17 00:00:00+00:00,2671
2024-11-18 00:00:00+00:00,2674
2024-11-19 00:00:00+00:00,2675
2024-11-20 00:00:00+00:00,2680
2024-11-21 00:00:00+00:00,2682
2024-11-22 00:00:00+00:00,2683
2024-11-23 00:00:00+00:00,2684
2024-11-24 00:00:00+00:00,2686
2024-11-25 00:00:00+00:00,2688
2024-11-26 00:00:00+00:00,2690
2024-11-29 00:00:00+00:00,2691
2024-12-01 00:00:00+00:00,2692
2024-12-02 00:00:00+00:00,2693
2024-12-03 00:00:00+00:00,2694
2024-12-06 00:00:00+00:00,2695
2024-12-09 00:00:00+00:00,2697
2024-12-10 00:00:00+00:00,2698
2024-12-13 00:00:00+00:00,2699
2024-12-19 00:00:00+00:00,2700
2024-12-20 00:00:00+00:00,2702
2024-12-23 00:00:00+00:00,2703
2024-12-24 00:00:00+00:00,2704
2024-12-26 00:00:00+00:00,2705
2024-12-27 00:00:00+00:00,2706
2024-12-28 00:00:00+00:00,2708
2024-12-29 00:00:00+00:00,2709
2024-12-31 00:00:00+00:00,2711
2025-01-02 00:00:00+00:00,2712
2025-01-03 00:00:00+00:00,2713
2025-01-04 00:00:00+00:00,2715
2025-01-05 00:00:00+00:00,2716
2025-01-06 00:00:00+00:00,2718
2025-01-08 00:00:00+00:00,2720
2025-01-09 00:00:00+00:00,2721
2025-01-11 00:00:00+00:00,2722
2025-01-13 00:00:00+00:00,2724
2025-01-15 00:00:00+00:00,2725
2025-01-16 00:00:00+00:00,2727
2025-01-18 00:00:00+00:00,2728
2025-01-21 00:00:00+00:00,2729
2025-01-22 00:00:00+00:00,2731
2025-01-24 00:00:00+00:00,2732
2025-01-25 00:00:00+00:00,2733
2025-01-28 00:00:00+00:00,2734
2025-01-29 00:00:00+00:00,2736
2025-01-30 00:00:00+00:00,2737
2025-01-31 00:00:00+00:00,2739
2025-02-01 00:00:00+00:00,2741
2025-02-02 00:00:00+00:00,2744
2025-02-03 00:00:00+00:00,2745
2025-02-05 00:00:00+00:00,2748
2025-02-06 00:00:00+00:00,2751
2025-02-07 00:00:00+00:00,2752
2025-02-08 00:00:00+00:00,2754
2025-02-09 00:00:00+00:00,2755
2025-02-10 00:00:00+00:00,2756
2025-02-11 00:00:00+00:00,2758
2025-02-12 00:00:00+00:00,2759
2025-02-13 00:00:00+00:00,2761
2025-02-15 00:00:00+00:00,2762
2025-02-17 00:00:00+00:00,2764
2025-02-18 00:00:00+00:00,2765
2025-02-19 00:00:00+00:00,2766
2025-02-20 00:00:00+00:00,2771
2025-02-21 00:00:00+00:00,2772
2025-02-22 00:00:00+00:00,2774
2025-02-23 00:00:00+00:00,2779
2025-02-24 00:00:00+00:00,2781
2025-02-26 00:00:00+00:00,2783
2025-02-27 00:00:00+00:00,2786
2025-02-28 00:00:00+00:00,2788
2025-03-02 00:00:00+00:00,2789
2025-03-03 00:00:00+00:00,2792
2025-03-05 00:00:00+00:00,2795
2025-03-11 00:00:00+00:00,2796
2025-03-13 00:00:00+00:00,2799
2025-03-17 00:00:00+00:00,2800
2025-03-18 00:00:00+00:00,2801
2025-03-19 00:00:00+00:00,2802
2025-03-20 00:00:00+00:00,2803
2025-03-23 00:00:00+00:00,2804
2025-03-24 00:00:00+00:00,2806
2025-03-25 00:00:00+00:00,2807
2025-03-26 00:00:00+00:00,2808
2025-03-28 00:00:00+00:00,2809
2025-03-29 00:00:00+00:00,2810
2025-03-30 00:00:00+00:00,2811
2025-04-02 00:00:00+00:00,2812
2025-04-03 00:00:00+00:00,2824
2025-04-04 00:00:00+00:00,2834
2025-04-05 00:00:00+00:00,2836
2025-04-07 00:00:00+00:00,2840
2025-04-08 00:00:00+00:00,2842
2025-04-10 00:00:00+00:00,2844
2025-04-11 00:00:00+00:00,2845
2025-04-12 00:00:00+00:00,2846
2025-04-13 00:00:00+00:00,2848
2025-04-14 00:00:00+00:00,2849
2025-04-15 00:00:00+00:00,2851
2025-04-16 00:00:00+00:00,2854
2025-04-17 00:00:00+00:00,2856
2025-04-19 00:00:00+00:00,2858
2025-04-23 00:00:00+00:00,2859
2025-04-24 00:00:00+00:00,2860
2025-04-27 00:00:00+00:00,2861
2025-04-28 00:00:00+00:00,2862
2025-04-29 00:00:00+00:00,2863
2025-04-30 00:00:00+00:00,2865
2025-05-01 00:00:00+00:00,2867
2025-05-02 00:00:00+00:00,2869
2025-05-04 00:00:00+00:00,2871
2025-05-06 00:00:00+00:00,2872
2025-05-07 00:00:00+00:00,2873
2025-05-08 00:00:00+00:00,2874
2025-05-09 00:00:00+00:00,2877
2025-05-10 00:00:00+00:00,2878
2025-05-11 00:00:00+00:00,2880
2025-05-12 00:00:00+00:00,2881
2025-05-14 00:00:00+00:00,2883
2025-05-15 00:00:00+00:00,2885
2025-05-17 00:00:00+00:00,2886
2025-05-18 00:00:00+00:00,2887
2025-05-19 00:00:00+00:00,2890
2025-05-20 00:00:00+00:00,2891
2025-05-22 00:00:00+00:00,2892
2025-05-23 00:00:00+00:00,2894
2025-05-24 00:00:00+00:00,2896
2025-05-25 00:00:00+00:00,2897
2025-05-26 00:00:00+00:00,2898
2025-05-27 00:00:00+00:00,2899
2025-05-28 00:00:00+00:00,2900
2025-05-29 00:00:00+00:00,2902
2025-05-30 00:00:00+00:00,2904
2025-05-31 00:00:00+00:00,2906
2025-06-01 00:00:00+00:00,2908
2025-06-02 00:00:00+00:00,2910
2025-06-04 00:00:00+00:00,2911
2025-06-05 00:00:00+00:00,2912
2025-06-08 00:00:00+00:00,2913
2025-06-09 00:00:00+00:00,2914
2025-06-10 00:00:00+00:00,2916
2025-06-11 00:00:00+00:00,2917
2025-06-12 00:00:00+00:00,2918
2025-06-17 00:00:00+00:00,2919
2025-06-20 00:00:00+00:00,2921
2025-06-21 00:00:00+00:00,2924
2025-06-23 00:00:00+00:00,2927
2025-06-24 00:00:00+00:00,2930
2025-06-26 00:00:00+00:00,2934
2025-06-27 00:00:00+00:00,2937
2025-06-29 00:00:00+00:00,2938
2025-06-30 00:00:00+00:00,2940
2025-07-02 00:00:00+00:00,2943
2025-07-03 00:00:00+00:00,2946
2025-07-04 00:00:00+00:00,2948
2025-07-05 00:00:00+00:00,2960
2025-07-06 00:00:00+00:00,2965
2025-07-07 00:00:00+00:00,2970
2025-07-08 00:00:00+00:00,2971
2025-07-10 00:00:00+00:00,2973
2025-07-11 00:00:00+00:00,2975
2025-07-14 00:00:00+00:00,2977
2025-07-15 00:00:00+00:00,2979
2025-07-16 00:00:00+00:00,2980
2025-07-18 00:00:00+00:00,2982
2025-07-20 00:00:00+00:00,2983
2025-07-21 00:00:00+00:00,2984
2025-07-22 00:00:00+00:00,2985
2025-07-23 00:00:00+00:00,2987
2025-07-25 00:00:00+00:00,2988
2025-07-26 00:00:00+00:00,2989
2025-07-27 00:00:00+00:00,2993
2025-07-28 00:00:00+00:00,2995
2025-07-29 00:00:00+00:00,2996
2025-07-30 00:00:00+00:00,2997
2025-07-31 00:00:00+00:00,2999
2025-08-02 00:00:00+00:00,3003
2025-08-03 00:00:00+00:00,3006
2025-08-05 00:00:00+00:00,3007
2025-08-08 00:00:00+00:00,3009
2025-08-09 00:00:00+00:00,3010
2025-08-10 00:00:00+00:00,3011
2025-08-11 00:00:00+00:00,3012
2025-08-12 00:00:00+00:00,3014
2025-08-14 00:00:00+00:00,3018
2025-08-15 00:00:00+00:00,3022
2025-08-16 00:00:00+00:00,3025
2025-08-18 00:00:00+00:00,3034
2025-08-19 00:00:00+00:00,3124
2025-08-20 00:00:00+00:00,3182
2025-08-21 00:00:00+00:00,3195
2025-08-22 00:00:00+00:00,3260
2025-08-23 00:00:00+00:00,3269
2025-08-24 00:00:00+00:00,3283
2025-08-25 00:00:00+00:00,3290
2025-08-26 00:00:00+00:00,3292
2025-08-27 00:00:00+00:00,3294
2025-08-28 00:00:00+00:00,3297
2025-08-29 00:00:00+00:00,3299
2025-08-31 00:00:00+00:00,3301
2025-09-01 00:00:00+00:00,3304
2025-09-02 00:00:00+00:00,3306
2025-09-03 00:00:00+00:00,3307
2025-09-04 00:00:00+00:00,3309
2025-09-05 00:00:00+00:00,3311
2025-09-06 00:00:00+00:00,3315
2025-09-08 00:00:00+00:00,3316
2025-09-09 00:00:00+00:00,3336
2025-09-10 00:00:00+00:00,3341
2025-09-11 00:00:00+00:00,3344
2025-09-12 00:00:00+00:00,3346
2025-09-13 00:00:00+00:00,3349
2025-09-14 00:00:00+00:00,3352
